,LongDest,LatDest,LongOrig,LatOrig
2628,12.592979,41.7990531,-46.478126,-23.434552899999996
2659,-43.1648755,-22.911143799999998,-46.478126,-23.434552899999996
2685,-46.478126,-23.434552899999996,-43.1648755,-22.911143799999998
2862,-43.1648755,-22.911143799999998,-40.2835346,-20.257648899999996
2888,-40.2835346,-20.257648899999996,-43.1648755,-22.911143799999998
2909,-43.965396000000005,-19.634099,-46.478126,-23.434552899999996
2935,-46.478126,-23.434552899999996,-43.965396000000005,-19.634099
3160,-43.965396000000005,-19.634099,-47.1375685,-23.008205
3186,-47.1375685,-23.008205,-43.965396000000005,-19.634099
3212,-47.1375685,-23.008205,-47.7751674,-21.134750699999998
3238,-43.1648755,-22.911143799999998,-51.175381099999996,-29.9934732
3259,-48.4775227,-1.3820615,-52.2490864,-3.2535656000000004
3264,-52.2490864,-3.2535656000000004,-48.4775227,-1.3820615
3269,-56.117268700000004,-15.653078599999999,-47.9172348,-15.869736900000001
3271,-47.9172348,-15.869736900000001,-43.965396000000005,-19.634099
3321,-43.965396000000005,-19.634099,-47.9172348,-15.869736900000001
3322,-47.9172348,-15.869736900000001,-56.117268700000004,-15.653078599999999
3373,-47.1375685,-23.008205,-43.9548899,-19.8498475
3394,-47.9172348,-15.869736900000001,-46.478126,-23.434552899999996
3398,-40.2835346,-20.257648899999996,-46.478126,-23.434552899999996
3403,-43.9548899,-19.8498475,-47.1375685,-23.008205
3451,-35.792882899999995,-9.5116056,-46.478126,-23.434552899999996
3461,-46.478126,-23.434552899999996,-35.792882899999995,-9.5116056
3466,-47.4560696,-5.5316945,-43.965396000000005,-19.634099
3492,-43.965396000000005,-19.634099,-47.4560696,-5.5316945
3518,-34.924015399999995,-8.1259315,-49.1724811,-25.5327132
3523,-49.1724811,-25.5327132,-34.924015399999995,-8.1259315
3528,-35.3673819,-5.768370200000001,-46.478126,-23.434552899999996
3611,-38.3312411,-12.9110977,-46.478126,-23.434552899999996
3637,-47.9172348,-15.869736900000001,-60.046324899999995,-3.0358473999999998
3642,-39.0821431,-16.4395303,-49.1724811,-25.5327132
3647,-49.1724811,-25.5327132,-39.0821431,-16.4395303
3652,-48.3575251,-10.294325599999999,-43.965396000000005,-19.634099
3678,-43.965396000000005,-19.634099,-48.3575251,-10.294325599999999
3762,-45.010200299999994,-12.078983000000001,-43.965396000000005,-19.634099
3788,-43.965396000000005,-19.634099,-45.010200299999994,-12.078983000000001
3814,-49.1724811,-25.5327132,-46.478126,-23.434552899999996
3835,-46.478126,-23.434552899999996,-49.1724811,-25.5327132
3873,-43.8200869,-16.704617199999998,-43.965396000000005,-19.634099
